상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-07,1899-0218,EBS,식사지원 은영이ver2," 1,422,242 ", 3 , 7 , 3 , 6 ," 140,000 ",,,43%,233%,200%," 203,177 ",1.18
2026-05-07,1899-0219,SPOTV,식사지원 지영이," 82,796 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-0519,SPOTV2,식사지원 지영이," 81,915 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-0762,JTBC4,식사지원 은영이 ver2," 279,995 ", 9 , 2 , 2 , 2 ," 45,000 ",,,100%,22%,100%," 139,998 ",1.93
2026-05-07,1899-7318,JTBC4,가족돌봄 지수," 342,216 ", 11 , 3 , 1 , 1 ," 20,000 ",,,33%,27%,100%," 114,072 ",0.70
2026-05-07,1899-7316,JTBC4,가족돌봄 지수ver2," 248,884 ", 8 , 2 , 2 ,,,,,100%,25%,0%," 124,442 ",0.00
2026-05-07,1899-7325,JTBC4,식사지원 사랑이," 342,216 ", 11 , 2 , 1 , 2 ," 60,000 ",,,50%,18%,200%," 171,108 ",2.10
2026-05-07,1899-2887,JTBC4,한아이 세아ver2," 248,884 ", 8 , 2 , 2 , 1 ," 50,000 ",,,100%,25%,50%," 124,442 ",2.41
2026-05-07,1899-0739,JTBC4,뇌병변 무준이ver2," 248,884 ", 8 , 2 ,,,,,,0%,25%,0%," 124,442 ",0.00
2026-05-07,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-0776,라이프타임,가족돌봄 지수ver2," 130,042 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 4 , 3 , 1 ," 20,000 ",,,75%,50%,33%," 44,355 ",1.35
2026-05-07,1899-0217,MBN PLUS,은영이 셀럽," 730,657 ", 7 , 3 , 2 , 1 ," 20,000 ",,,67%,43%,50%," 243,552 ",0.33
2026-05-07,1899-3854,CNTV,한아이 세아ver2," 165,000 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,1899-3569,채널액션,식사지원 지영이," 31,655 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-05-07,2102-4590,발신,-, - , - , 4 , 2 ,,,,,50%,0%,0%, - ,0.00
