상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-13,1899-0218,EBS,식사지원 은영이ver2," 1,422,242 ", 3 , 7 , 2 , 1 ," 20,000 ", 2 ," 40,000 ",29%,233%,50%," 203,177 ",0.17
2026-05-13,1899-0219,SPOTV,식사지원 지영이," 82,796 ", 2 , 1 ,,,,,,0%,50%,0%," 82,796 ",0.00
2026-05-13,1899-0519,SPOTV2,식사지원 지영이," 81,915 ", 2 , 2 , 2 ,,,,,100%,100%,0%," 40,957 ",0.00
2026-05-13,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%, - ,0.00
2026-05-13,1899-0762,JTBC4,식사지원 은영이 ver2," 254,841 ", 7 , 2 , 1 , 1 ," 20,000 ",,,50%,29%,100%," 127,421 ",0.94
2026-05-13,1899-7318,JTBC4,가족돌봄 지수," 327,653 ", 9 , 1 ,,,,,,0%,11%,0%," 327,653 ",0.00
2026-05-13,1899-7316,JTBC4,가족돌봄 지수ver2," 254,841 ", 7 , 2 , 2 ,,,,,100%,29%,0%," 127,421 ",0.00
2026-05-13,1899-7325,JTBC4,식사지원 사랑이," 254,841 ", 7 , 4 , 3 , 2 ," 45,000 ",,,75%,57%,67%," 63,710 ",2.12
2026-05-13,1899-2887,JTBC4,한아이 세아ver2," 254,841 ", 7 , 1 , 1 , 1 ," 50,000 ",,,100%,14%,100%," 254,841 ",2.35
2026-05-13,1899-0739,JTBC4,뇌병변 무준이ver2," 182,030 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 182,030 ",0.00
2026-05-13,1899-7319,JTBC4,식사지원 준우_메인," 182,030 ", 5 , 3 ,,,,,,,,,,
2026-05-13,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 , 1 ,, 1 ," 30,000 ",,,0%,100%,0%, - ,0.00
2026-05-13,1899-0795,JTBC (SVC),가족돌봄 지수, - , 2 , 2 , 2 , 1 ," 20,000 ",,,,,,,
2026-05-13,1899-0776,라이프타임,가족돌봄 지수ver2," 214,186 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 214,186 ",0.00
2026-05-13,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 6 , 1 , 1 , 1 ," 20,000 ",,,100%,17%,100%, - ,0.00
2026-05-13,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 1 , 1 , 1 ," 30,000 ",,,100%,13%,100%," 177,419 ",2.03
2026-05-13,1899-0217,MBN PLUS,은영이 셀럽," 730,657 ", 7 , 5 , 2 , 2 ," 30,000 ",,,40%,71%,100%," 146,131 ",0.49
2026-05-13,1899-3854,CNTV,한아이 세아ver2," 165,000 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-13,1899-3569,채널액션,식사지원 지영이," 31,655 ", 5 , 1 ,,,,,,0%,20%,0%," 31,655 ",0.00
2026-05-13,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-05-13,2102-4590,발신,-, - , - , 3 , 1 ,,,,,33%,0%,0%, - ,0.00
