상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-30,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 7 , 5 , 2 ," 50,000 ", 2 ," 30,000 ",71%,233%,40%," 204,286 ",0.42
2026-04-30,1899-0219,SPOTV,식사지원 지영이," 177,419 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-0519,SPOTV2,식사지원 지영이," 171,875 ", 4 , 1 ,,,,,,0%,25%,0%," 171,875 ",0.00
2026-04-30,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-0762,JTBC4,식사지원 은영이ver2," 297,995 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-7318,JTBC4,가족돌봄 지수," 372,475 ", 10 , 5 , 2 , 1 ," 20,000 ",,,40%,50%,50%," 74,495 ",0.64
2026-04-30,1899-7316,JTBC4, 가족돌봄 지수ver2," 297,980 ", 8 , 2 , 2 ,,,,,100%,25%,0%," 148,990 ",0.00
2026-04-30,1899-7325,JTBC4,식사지원 사랑이," 372,475 ", 10 , 3 , 3 , 2 ," 40,000 ", 1 ," 20,000 ",100%,30%,67%," 124,158 ",1.29
2026-04-30,1899-2887,JTBC4,한아이 세아ver2," 260,733 ", 7 , 1 , 1 , 1 ," 20,000 ",,,,,,,0.92
2026-04-30,1899-0739,JTBC4,뇌병변 무준이ver2," 260,734 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-0776,라이프타임,가족돌봄 지수ver2," 244,784 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 6 , 1 , 1 ,,,,,100%,17%,0%, - ,0.00
2026-04-30,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 2 , 2 ,,,,,100%,25%,0%," 91,667 ",0.00
2026-04-30,1899-0217,MBN PLUS,은영이 셀럽," 687,500 ", 7 , 5 ,,,,,,,,,,0.00
2026-04-30,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-04-30,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
