상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-28,1899-0218,EBS,식사지원 예진," 1,439,597 ", 3 , 8 , 5 , 4 ," 90,000 ", 1 ," 20,000 ",63%,267%,80%," 179,950 ",0.75
2026-08-28,1899-0219,SPOTV,신장질환 세나," 106,944 ", 2 , 1 , 1 ,,, 1 ," 10,000 ",100%,50%,0%," 106,944 ",0.00
2026-08-28,1899-0519,SPOTV2,신장질환 세나," 106,944 ", 2 , 5 , 5 ,,,,,100%,250%,0%," 21,389 ",0.00
2026-08-28,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 , 1 ," 20,000 ",,,100%,33%,100%, - ,0.00
2026-08-28,1899-0263,JTBC4,이유식 안부," 173,181 ", 6 , 2 , 1 ,,,,,50%,33%,0%," 86,591 ",0.00
2026-08-28,1899-7319,JTBC4,식사지원 준우_메인," 115,454 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-3569,JTBC4,식사지원 준우_아동," 115,454 ", 4 , 3 , 3 , 2 ," 30,000 ",,,100%,75%,67%," 38,485 ",3.12
2026-08-28,1899-7318,JTBC4,식사지원 예진," 230,908 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-7325,JTBC4,신장질환 세나," 202,045 ", 7 , 1 , 1 , 1 ," 20,000 ",,,100%,14%,100%," 202,045 ",1.19
2026-08-28,1899-0762,JTBC4,영유아 정훈," 202,045 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-7316,JTBC4,몽골구급차지원," 202,045 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-0776,라이프타임,식사지원 예진," 251,007 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 251,007 ",1.43
2026-08-28,1899-7314,히스토리 (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 2 ,,,,,,0%,25%,0%," 88,710 ",0.00
2026-08-28,1899-7317,빌리어즈TV,식사지원 예진," 145,588 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 1 ,, 1 ," 15,000 ",,,0%,20%,0%," 283,871 ",0.63
2026-08-28,1899-7315,바둑TV,식사지원 예진," 149,375 ", 5 , 2 ,,,,,,0%,40%,0%," 74,688 ",0.00
2026-08-28,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-28,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-08-29,1899-0218,EBS,식사지원 예진," 819,463 ", 2 , 7 , 5 , 4 ," 105,000 ",,,71%,350%,80%," 117,066 ",1.54
2026-08-29,1899-0219,SPOTV,신장질환 세나," 53,472 ", 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-0519,SPOTV2,신장질환 세나, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-0263,JTBC4,이유식 안부," 191,565 ", 6 , 6 , 5 , 2 ," 40,000 ",,,83%,100%,40%," 31,928 ",2.51
2026-08-29,1899-7319,JTBC4,식사지원 준우_메인," 127,710 ", 4 , 2 , 1 ,,,,,50%,50%,0%," 63,855 ",0.00
2026-08-29,1899-3569,JTBC4,식사지원 준우_아동," 127,710 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 127,710 ",0.00
2026-08-29,1899-7318,JTBC4,식사지원 예진," 255,420 ", 8 , 3 , 2 , 1 ," 30,000 ",,,67%,38%,50%," 85,140 ",1.41
2026-08-29,1899-7325,JTBC4,신장질환 세나," 159,638 ", 5 , 3 , 2 ,,,,,67%,60%,0%," 53,213 ",0.00
2026-08-29,1899-0762,JTBC4,영유아 정훈," 159,638 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 159,638 ",1.50
2026-08-29,1899-7316,JTBC4,몽골구급차지원," 159,638 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-7326,JTBC2 (SVC),신장질환 세나, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-0776,라이프타임,식사지원 예진," 110,738 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 3 , 3 , 2 ," 30,000 ",,,100%,38%,67%," 59,140 ",2.03
2026-08-29,1899-7317,빌리어즈TV,식사지원 예진," 145,588 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-29,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 2 , 2 , 1 ," 30,000 ",,,100%,50%,50%," 177,419 ",1.01
