상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-08,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 2 , 1 , 1 ," 30,000 ",,,50%,67%,100%," 715,000 ",0.25
2026-04-08,1899-0219,SPOTV,식사지원 지영이," 118,280 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-0762,JTBC4,식사지원 은영이ver2," 379,827 ", 10 , 3 , 3 , 1 ," 20,000 ", 1 ," 20,000 ",100%,30%,33%," 126,609 ",0.63
2026-04-08,1899-7318,JTBC4,가족돌봄 지수," 379,827 ", 10 , 1 , 1 , 1 ," 20,000 ",,,100%,10%,100%," 379,827 ",0.63
2026-04-08,1899-7319,JTBC4,가족돌봄 선우," 265,879 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-7325,JTBC4,식사지원 사랑이," 265,879 ", 7 , 3 , 3 , 1 ," 20,000 ",,,100%,43%,33%," 88,626 ",0.90
2026-04-08,1899-7316,JTBC4,식사지원 준우_셰프," 265,879 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-0739,JTBC4,뇌병변 무준이ver2," 265,879 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 265,879 ",0.00
2026-04-08,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-0776,라이프타임,가족돌봄 지수ver2," 175,939 ", 4 , 1 ,, 2 ," 70,000 ",,,0%,25%,0%," 175,939 ",4.77
2026-04-08,1899-7314,히스토리 (SVC),식사지원 지영이, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-04-08,2102-4590,발신,-, - , - , 3 , 2 ,,,,,67%,0%,0%, - ,0.00
