상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-07-30,1899-0218,EBS,식사지원 예진," 1,440,476 ", 3 , 7 , 6 , 4 ," 70,000 ",,,86%,233%,67%," 205,782 ",0.58
2026-07-30,1899-0219,SPOTV, 신장질환 세나," 104,054 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-0519,SPOTV2, 신장질환 세나," 104,054 ", 2 , 2 ,,,,,,0%,100%,0%," 52,027 ",0.00
2026-07-30,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-0263,JTBC4,이유식 안부," 287,977 ", 10 , 2 , 2 ,,,,,100%,20%,0%," 143,989 ",0.00
2026-07-30,1899-7319,JTBC4,식사지원 준우_메인," 143,989 ", 5 , 2 , 1 , 1 ," 10,000 ",,,50%,40%,100%," 71,995 ",0.83
2026-07-30,1899-3569,JTBC4,식사지원 준우_아동," 201,584 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-7318,JTBC4,식사지원 예진," 345,573 ", 12 , 4 , 4 , 2 ," 40,000 ",,,100%,33%,50%," 86,393 ",1.39
2026-07-30,1899-7325,JTBC4,신장질환 세나," 201,584 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 201,584 ",0.00
2026-07-30,1899-0795,JTBC4,엄마의 마음," 201,584 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-7326,JTBC2 (SVC),신장질환 세나, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-0776,라이프타임,이유식 안부," 146,862 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 2 , 2 , 2 ," 60,000 ",,,100%,25%,100%," 88,710 ",4.06
2026-07-30,1899-7317,빌리어즈TV,식사지원 예진," 283,871 ", 2 , 3 , 3 , 3 ," 60,000 ",,,100%,150%,100%," 94,624 ",2.54
2026-07-30,1899-0739,채널S플러스,식사지원 예진," 312,258 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 312,258 ",0.77
2026-07-30,1899-0217,엠플렉스,식사지원 예진," 343,750 ", 5 , 2 , 2 ,,,,,100%,40%,0%," 171,875 ",0.00
2026-07-30,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-07-30,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
