상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-09,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 9 , 7 , 2 ," 60,000 ", 2 ," 105,000 ",78%,300%,29%," 158,889 ",0.50
2026-04-09,1899-0219,SPOTV,식사지원 지영이," 177,419 ", 3 , 5 , 3 ,,,,,60%,167%,0%," 35,484 ",0.00
2026-04-09,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,1899-0762,JTBC4,식사지원 은영이ver2," 372,475 ", 10 , 2 , 2 , - , - , - , - ,100%,20%,0%," 186,238 ",0.00
2026-04-09,1899-7318,JTBC4,가족돌봄 지수," 372,475 ", 10 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-04-09,1899-7319,JTBC4,가족돌봄 선우," 260,733 ", 7 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-04-09,1899-7325,JTBC4,식사지원 사랑이," 260,733 ", 7 , 3 , 3 , 3 ," 80,000 ", - , - ,100%,43%,100%," 86,911 ",3.68
2026-04-09,1899-7316,JTBC4,식사지원 준우_셰프," 297,980 ", 8 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-04-09,1899-0739,JTBC4,뇌병변 무준이ver2," 297,980 ", 8 , 2 , 1 , 1 ," 20,000 ", - , - ,50%,25%,100%," 148,990 ",0.81
2026-04-09,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,1899-0776,라이프타임,가족돌봄 지수ver2," 244,784 ", 4 , 3 , 3 , 2 ," 40,000 ",,,100%,75%,67%," 81,595 ",1.96
2026-04-09,1899-7314,히스토리 (SVC),식사지원 지영이, - , 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-04-09,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
