상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-26,1899-0218,EBS,식사지원 예진," 1,018,792 ", 3 , 3 ,, 1 ," 10,000 ",,,0%,100%,0%," 339,597 ",0.12
2026-08-26,1899-0219,SPOTV, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 ,, 1 ," 10,000 ",,,0%,33%,0%, - ,0.00
2026-08-26,1899-0263,JTBC4,이유식 안부," 184,849 ", 7 , 1 , 1 , - , - ,,,100%,14%,0%," 184,849 ",0.00
2026-08-26,1899-7319,JTBC4,식사지원 준우_메인," 132,035 ", 5 , - , - , - , - ,,,0%,0%,0%, - ,0.00
2026-08-26,1899-3569,JTBC4,식사지원 준우_아동," 132,035 ", 5 , - , - , - , - ,,,0%,0%,0%, - ,0.00
2026-08-26,1899-7318,JTBC4,식사지원 예진," 237,663 ", 9 , 2 , 1 , 1 ," 30,000 ",,,50%,22%,100%," 118,832 ",1.51
2026-08-26,1899-7325,JTBC4,신장질환 세나," 184,849 ", 7 , - , - , - , - ,,,0%,0%,0%, - ,0.00
2026-08-26,1899-0762,JTBC4,영유아 정훈," 184,849 ", 7 , 2 , 2 , 1 ," 30,000 ",,,100%,29%,50%," 92,425 ",1.95
2026-08-26,1899-7316,JTBC4,몽골구급차지원," 184,849 ", 7 , - , - , - , - ,,,,,,,
2026-08-26,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,1899-0776,라이프타임,식사지원 예진," 169,799 ", 4 , 1 ,,,,,,0%,25%,0%," 169,799 ",0.00
2026-08-26,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 1 , 1 ,,, 1 ," 20,000 ",100%,13%,0%," 177,419 ",0.00
2026-08-26,1899-7317,빌리어즈TV,식사지원 예진," 194,118 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 194,118 ",0.00
2026-08-26,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 354,839 ",0.68
2026-08-26,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 283,871 ",0.85
2026-08-26,1899-7315,바둑TV,식사지원 예진," 194,188 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-26,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
