상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-19,1899-0218,EBS,식사지원 예진," 1,018,792 ", 3 , 7 , 4 , 5 ," 110,000 ",,,57%,233%,125%," 145,542 ",1.30
2026-08-19,1899-0219,SPOTV, 신장질환 세나," 106,944 ", 2 , 2 , 1 , 1 ," 10,000 ",,,50%,100%,100%," 53,472 ",1.12
2026-08-19,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,1899-0263,JTBC4,이유식 안부," 237,663 ", 9 , 3 , 3 , 1 ," 10,000 ",,,100%,33%,33%," 79,221 ",0.50
2026-08-19,1899-7319,JTBC4,식사지원 준우_메인," 132,035 ", 5 , 1 , 1 , 1 ," 50,000 ",,,100%,20%,100%," 132,035 ",4.54
2026-08-19,1899-3569,JTBC4,식사지원 준우_아동," 184,849 ", 7 , 2 , 2 ,,, 1 ," 20,000 ",100%,29%,0%," 92,425 ",0.00
2026-08-19,1899-7318,JTBC4,식사지원 예진," 316,885 ", 12 , 2 , 2 , 2 ," 50,000 ",,,100%,17%,100%," 158,443 ",1.89
2026-08-19,1899-7325,JTBC4,신장질환 세나," 184,849 ", 7 , 3 , 2 , 2 ," 40,000 ",,,67%,43%,100%," 61,616 ",2.60
2026-08-19,1899-0795,JTBC4,엄마의 마음," 184,849 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,1899-7326,JTBC2 (SVC),신장질환 세나, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,1899-0776,라이프타임,식사지원 예진," 169,799 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 , 1 ,,,,,,0%,14%,0%, - ,0.00
2026-08-19,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 1 , 1 ,,, 1 ," 20,000 ",100%,13%,0%," 177,419 ",0.00
2026-08-19,1899-7317,빌리어즈TV,식사지원 예진," 194,118 ", 2 , 6 , 5 , 2 ," 50,000 ",,,83%,300%,40%," 32,353 ",3.09
2026-08-19,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 7 , 4 , 2 ," 40,000 ",,,57%,175%,50%," 50,691 ",1.35
2026-08-19,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 283,871 ",0.00
2026-08-19,1899-7315,바둑TV,식사지원 예진," 194,188 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-19,2102-4590,발신,-, - , - , 4 , 2 ,,,,,50%,0%,0%, - ,0.00
