상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-01,1899-0218,EBS,식사지원 지영이," 1,453,789 ", 3 , 9 , 6 , 1 ," 20,000 ",,,67%,300%,17%," 161,532 ",0.17
2026-06-01,1899-0219,SPOTV,식사지원 지영이," 327,660 ", 8 , 5 , 4 , 3 ," 80,000 ",,,80%,63%,75%," 65,532 ",2.93
2026-06-01,1899-0519,SPOTV2,식사지원 지영이," 286,702 ", 7 , 4 , 3 , 2 ," 40,000 ",,,75%,57%,67%," 71,676 ",1.67
2026-06-01,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-0762,JTBC4,식사지원 은영이 ver2," 215,935 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-7318,JTBC4,가족돌봄 지수," 107,967 ", 4 , 1 ,,,,,,0%,25%,0%," 107,967 ",0.00
2026-06-01,1899-7316,JTBC4,가족돌봄 지수ver2," 161,951 ", 6 , 2 , 2 , 2 ," 40,000 ",,,100%,33%,100%," 80,976 ",2.96
2026-06-01,1899-7325,JTBC4,식사지원 사랑이," 107,967 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-2887,JTBC4,한아이 세아ver2," 107,967 ", 4 , 1 , 1 , 1 ," 50,000 ",,,100%,25%,100%," 107,967 ",5.56
2026-06-01,1899-7315,JTBC4,뇌병변 지혜ver2," 161,951 ", 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-0263,JTBC4,이유식 안부," 107,967 ", 4 , 4 , 1 , 3 ," 90,000 ",,,25%,100%,300%," 26,992 ",10.00
2026-06-01,1899-7319,JTBC4,식사지원 준우_메인," 107,967 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 , 1 , 1 ,,,,,100%,50%,0%, - ,0.00
2026-06-01,1899-0776,라이프타임,가족돌봄 지수ver2," 357,056 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 4 , 3 ,,, 1 ," 20,000 ",75%,50%,0%," 45,833 ",0.00
2026-06-01,1899-7317,빌리어즈TV,식사지원 지영이," 256,667 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-01,-,기타 TV채널,-, - , - , 5 , 3 ,,,,,60%,0%,0%, - ,0.00
2026-06-01,2102-4590,발신,-, - , - , 7 , 4 ,,,,,57%,0%,0%, - ,0.00
2026-06-02,1899-0218,EBS,식사지원 지영이," 1,028,835 ", 3 , 6 , 5 , 2 ," 40,000 ", 1 ," 100,000 ",83%,200%,40%," 171,473 ",0.47
2026-06-02,1899-0219,SPOTV,식사지원 지영이," 81,915 ", 2 , 1 , 1 , 1 ," 5,000 ",,,100%,50%,100%," 81,915 ",0.73
2026-06-02,1899-0519,SPOTV2,식사지원 지영이," 122,872 ", 3 , 1 ,,,,,,0%,33%,0%," 122,872 ",0.00
2026-06-02,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-02,1899-0762,JTBC4,식사지원 은영이 ver2," 314,905 ", 9 , 2 , 2 , 1 ," 20,000 ", 1 ," 20,000 ",100%,22%,50%," 157,453 ",0.76
2026-06-02,1899-7318,JTBC4,가족돌봄 지수," 174,947 ", 5 , 4 , 4 , 3 ," 70,000 ",,,100%,80%,75%," 43,737 ",4.80
2026-06-02,1899-7316,JTBC4,가족돌봄 지수ver2," 244,926 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 244,926 ",0.00
2026-06-02,1899-7325,JTBC4,식사지원 사랑이," 174,947 ", 5 , 3 , 3 , 1 ," 30,000 ",,,100%,60%,33%," 58,316 ",2.06
2026-06-02,1899-2887,JTBC4,한아이 세아ver2," 174,947 ", 5 , 1 ,, 1 ," 20,000 ",,,0%,20%,0%," 174,947 ",1.37
2026-06-02,1899-7315,JTBC4,뇌병변 지혜ver2," 244,926 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-02,1899-0263,JTBC4,이유식 안부," 174,947 ", 5 , 2 , 1 ,,,,,50%,40%,0%," 87,474 ",0.00
2026-06-02,1899-7319,JTBC4,식사지원 준우_메인," 174,947 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 174,947 ",2.06
2026-06-02,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-02,1899-0776,라이프타임,가족돌봄 지수ver2," 341,532 ", 7 , 2 , 2 , 2 ," 30,000 ",,,100%,29%,100%," 170,766 ",1.05
2026-06-02,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 , 1 , 1 ,,,,,100%,13%,0%, - ,0.00
2026-06-02,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 4 , 3 , 2 ," 50,000 ",,,75%,50%,67%," 45,833 ",3.27
2026-06-02,1899-7317,빌리어즈TV,식사지원 지영이," 256,667 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-02,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-02,2102-4590,발신,-, - , - , 3 , 2 ,,,,,67%,0%,0%, - ,0.00
2026-06-03,1899-0218,EBS,식사지원 지영이," 2,080,037 ", 4 , 9 , 8 , 6 ," 120,000 ",,,89%,225%,75%," 231,115 ",0.69
2026-06-03,1899-0219,SPOTV,식사지원 지영이," 81,915 ", 2 , 1 , 1 , 1 ," 10,000 ",,,100%,50%,100%," 81,915 ",1.46
2026-06-03,1899-0519,SPOTV2,식사지원 지영이," 122,872 ", 3 , 2 , 2 , 1 ," 50,000 ", 1 ," 20,000 ",100%,67%,50%," 61,436 ",4.88
2026-06-03,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-0762,JTBC4,식사지원 은영이 ver2," 299,909 ", 9 , 1 , 1 , 1 ," 20,000 ",,,100%,11%,100%," 299,909 ",0.80
2026-06-03,1899-7318,JTBC4,가족돌봄 지수," 166,616 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 166,616 ",2.16
2026-06-03,1899-7316,JTBC4,가족돌봄 지수ver2," 233,263 ", 7 , 4 , 4 , 4 ," 115,000 ",,,100%,57%,100%," 58,316 ",5.92
2026-06-03,1899-7325,JTBC4,식사지원 사랑이," 166,616 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-2887,JTBC4,한아이 세아ver2," 166,616 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-7315,JTBC4,뇌병변 지혜ver2," 233,263 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-0263,JTBC4,이유식 안부," 166,616 ", 5 , 3 , 3 , 2 ," 60,000 ",,,100%,60%,67%," 55,539 ",4.32
2026-06-03,1899-7319,JTBC4,식사지원 준우_메인," 166,616 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-0776,라이프타임,가족돌봄 지수ver2," 426,915 ", 8 , 1 , 1 ,,,,,100%,13%,0%," 426,915 ",0.00
2026-06-03,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,1899-7317,빌리어즈TV,식사지원 지영이," 256,667 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 256,667 ",1.40
2026-06-03,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-03,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
