상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-21,1899-0218,EBS,식사지원 예진," 1,439,597 ", 3 , 9 , 6 , 6 ," 130,000 ", 2 ," 30,000 ",67%,300%,100%," 159,955 ",1.08
2026-08-21,1899-0219,SPOTV, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 , 1 ," 20,000 ",,,100%,33%,100%, - ,0.00
2026-08-21,1899-0263,JTBC4,이유식 안부," 296,792 ", 11 , 2 , 1 , 2 ," 45,000 ",,,50%,18%,200%," 148,396 ",1.82
2026-08-21,1899-7319,JTBC4,식사지원 준우_메인," 134,906 ", 5 , 2 , 2 , 2 ," 50,000 ",,,100%,40%,100%," 67,453 ",4.45
2026-08-21,1899-3569,JTBC4,식사지원 준우_아동," 134,906 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-7318,JTBC4,식사지원 예진," 296,792 ", 11 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-7325,JTBC4,신장질환 세나," 188,868 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 188,868 ",0.00
2026-08-21,1899-0762,JTBC4,영유아 정훈," 188,868 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-0776,라이프타임,식사지원 예진," 251,007 ", 5 , 3 , 3 , 1 ," 20,000 ",,,100%,60%,33%," 83,669 ",0.96
2026-08-21,1899-7314,히스토리 (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 1 , 1 ,,,,,100%,13%,0%," 177,419 ",0.00
2026-08-21,1899-7317,빌리어즈TV,식사지원 예진," 145,588 ", 3 , 6 , 5 , 5 ," 130,000 ",,,83%,200%,100%," 24,265 ",10.72
2026-08-21,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 3 , 1 , 1 ," 20,000 ",,,33%,75%,100%," 118,280 ",0.68
2026-08-21,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 2 , 1 , 1 ," 30,000 ", 1 ," 50,000 ",50%,40%,100%," 141,935 ",1.27
2026-08-21,1899-7315,바둑TV,식사지원 예진," 149,375 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 149,375 ",1.61
2026-08-21,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-21,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-22,1899-0218,EBS,식사지원 예진," 819,463 ", 2 , 3 , 3 ,,,,,100%,150%,0%," 273,154 ",0.00
2026-08-22,1899-0219,SPOTV, 신장질환 세나," 53,472 ", 1 , 3 , 3 , 3 ," 65,000 ",,,100%,300%,100%," 17,824 ",14.59
2026-08-22,1899-0519,SPOTV2, 신장질환 세나, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-22,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 ,,,,,,0%,33%,0%, - ,0.00
2026-08-22,1899-0263,JTBC4,이유식 안부," 282,489 ", 11 , 3 , 2 , 1 ," 30,000 ",,,67%,27%,50%," 94,163 ",1.27
2026-08-22,1899-7319,JTBC4,식사지원 준우_메인," 128,404 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 128,404 ",1.87
2026-08-22,1899-3569,JTBC4,식사지원 준우_아동," 128,404 ", 5 , 2 ,,,,,,0%,40%,0%," 64,202 ",0.00
2026-08-22,1899-7318,JTBC4,식사지원 예진," 282,489 ", 11 , 4 , 3 , 2 ," 40,000 ",,,75%,36%,67%," 70,622 ",1.70
2026-08-22,1899-7325,JTBC4,신장질환 세나," 179,766 ", 7 , 2 , 2 , 3 ," 70,000 ",,,100%,29%,150%," 89,883 ",4.67
2026-08-22,1899-0762,JTBC4,영유아 정훈," 179,766 ", 7 , 2 , 2 , 1 ," 10,000 ", 1 ," 10,000 ",100%,29%,50%," 89,883 ",0.67
2026-08-22,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-22,1899-0776,라이프타임,식사지원 예진," 110,738 ", 2 , 2 ,,,,,,0%,100%,0%," 55,369 ",0.00
2026-08-22,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-22,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 2 , 1 , 1 ," 30,000 ",,,50%,25%,100%," 88,710 ",2.03
2026-08-22,1899-7317,빌리어즈TV,식사지원 예진," 145,588 ", 3 , 1 , 1 ,,,,,100%,33%,0%," 145,588 ",0.00
2026-08-22,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 354,839 ",0.00
2026-08-22,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 2 , 1 , 1 ," 20,000 ",,,50%,40%,100%," 141,935 ",0.85
2026-08-22,1899-7315,바둑TV,식사지원 예진," 179,250 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 179,250 ",1.34
2026-08-22,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-22,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
2026-08-23,1899-0218,EBS,식사지원 예진," 819,463 ", 2 , 1 , 1 , 1 ," 30,000 ",,,100%,50%,100%," 819,463 ",0.44
2026-08-23,1899-0219,SPOTV, 신장질환 세나," 53,472 ", 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 ,,,,,100%,33%,0%, - ,0.00
2026-08-23,1899-0263,JTBC4,이유식 안부," 345,174 ", 12 , 1 , 1 , 1 ," 50,000 ",,,100%,8%,100%," 345,174 ",1.74
2026-08-23,1899-7319,JTBC4,식사지원 준우_메인," 143,823 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-3569,JTBC4,식사지원 준우_아동," 143,823 ", 5 , 2 , 2 , 1 ," 30,000 ",,,100%,40%,50%," 71,912 ",2.50
2026-08-23,1899-7318,JTBC4,식사지원 예진," 345,174 ", 12 , 7 , 6 , 5 ," 130,000 ", 1 ," 500,000 ",86%,58%,83%," 49,311 ",4.52
2026-08-23,1899-7325,JTBC4,신장질환 세나," 201,352 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 201,352 ",0.00
2026-08-23,1899-0762,JTBC4,영유아 정훈," 201,352 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-0776,라이프타임,식사지원 예진," 140,268 ", 3 , 1 , 1 ,,,,,100%,33%,0%," 140,268 ",0.00
2026-08-23,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 2 , 2 , 2 ," 40,000 ",,,100%,25%,100%," 88,710 ",2.71
2026-08-23,1899-7317,빌리어즈TV,식사지원 예진," 145,588 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 4 , 3 ,,,,,75%,100%,0%," 88,710 ",0.00
2026-08-23,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 283,871 ",0.85
2026-08-23,1899-7315,바둑TV,식사지원 예진," 179,250 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 179,250 ",1.34
2026-08-23,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-23,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
