상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-24,1899-0218,EBS,식사지원 예진," 1,439,597 ", 3 , 4 , 4 , 3 ," 60,000 ", 1 ," 20,000 ",100%,133%,75%," 359,899 ",0.50
2026-08-24,1899-0219,SPOTV, 신장질환 세나," 320,833 ", 6 , 1 , 1 , 1 ," 20,000 ",,,100%,17%,100%," 320,833 ",0.75
2026-08-24,1899-0519,SPOTV2, 신장질환 세나," 320,833 ", 6 , 1 ,,,,,,0%,17%,0%," 320,833 ",0.00
2026-08-24,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 , 1 ," 30,000 ",,,100%,33%,100%, - ,0.00
2026-08-24,1899-0263,JTBC4,이유식 안부," 278,913 ", 11 , 3 , 1 , 1 ," 20,000 ",,,33%,27%,100%," 92,971 ",0.86
2026-08-24,1899-7319,JTBC4,식사지원 준우_메인," 126,779 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-24,1899-3569,JTBC4,식사지원 준우_아동," 126,779 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-24,1899-7318,JTBC4,식사지원 예진," 278,913 ", 11 , 1 , 1 ,,,,,100%,9%,0%," 278,913 ",0.00
2026-08-24,1899-7325,JTBC4,신장질환 세나," 177,490 ", 7 , 2 , 1 , 1 ," 20,000 ",,,50%,29%,100%," 88,745 ",1.35
2026-08-24,1899-0762,JTBC4,영유아 정훈," 177,490 ", 7 , 1 , 1 , 1 ," 30,000 ",,,100%,14%,100%," 177,490 ",2.03
2026-08-24,1899-7326,JTBC2 (SVC),신장질환 세나, - , 3 , 1 , 1 ,,,,,100%,33%,0%, - ,0.00
2026-08-24,1899-0776,라이프타임,식사지원 예진," 214,094 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 214,094 ",0.00
2026-08-24,1899-7314,히스토리 (SVC),식사지원 예진, - , 5 , 1 , 1 ,,,,,100%,20%,0%, - ,0.00
2026-08-24,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 3 , 3 , 2 ," 60,000 ",,,100%,38%,67%," 59,140 ",4.06
2026-08-24,1899-7317,빌리어즈TV,식사지원 예진," 97,059 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-24,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 , 1 , 2 ," 40,000 ",,,100%,25%,200%," 354,839 ",1.35
2026-08-24,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-24,1899-7315,바둑TV,식사지원 예진," 241,988 ", 6 , 2 , 2 ,,, 1 ," 20,000 ",100%,33%,0%," 120,994 ",0.00
2026-08-24,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-24,2102-4590,발신,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
