상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-12,1899-0218,EBS,식사지원 은영이ver2," 1,006,510 ", 3 , 8 , 5 , 3 ," 55,000 ",,,63%,267%,60%," 125,814 ",0.66
2026-05-12,1899-0219,SPOTV,식사지원 지영이," 82,796 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,1899-0519,SPOTV2,식사지원 지영이," 81,915 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,1899-0762,JTBC4,식사지원 은영이 ver2," 279,825 ", 8 , 2 , 2 , 2 ," 40,000 ",,,100%,25%,100%," 139,913 ",1.72
2026-05-12,1899-7318,JTBC4,가족돌봄 지수," 349,781 ", 10 , 1 , 1 ,,,,,100%,10%,0%," 349,781 ",0.00
2026-05-12,1899-7316,JTBC4,가족돌봄 지수ver2," 279,825 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,1899-7325,JTBC4,식사지원 사랑이," 279,825 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,1899-2887,JTBC4,한아이 세아ver2," 279,825 ", 8 , 1 , 1 ,,,,,100%,13%,0%," 279,825 ",0.00
2026-05-12,1899-0739,JTBC4,뇌병변 무준이ver2," 174,891 ", 5 , 2 ,,,,,,0%,40%,0%," 87,446 ",0.00
2026-05-12,1899-7319,JTBC4,식사지원 준우_메인," 174,891 ", 5 , 1 ,,,,,,,,,,
2026-05-12,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 , 1 , 1 ,,,,,100%,100%,0%, - ,0.00
2026-05-12,1899-0795,JTBC (SVC),가족돌봄 지수, - , 1 ,,,,,,,,,,,
2026-05-12,1899-0776,라이프타임,가족돌봄 지수ver2," 107,093 ", 3 , 1 , 1 , 1 ," 20,000 ",,,100%,33%,100%," 107,093 ",2.24
2026-05-12,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 6 , 1 , 1 , 1 ," 20,000 ",,,100%,17%,100%, - ,0.00
2026-05-12,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 1 , 1 ,,,,,100%,13%,0%," 177,419 ",0.00
2026-05-12,1899-0217,MBN PLUS,은영이 셀럽," 730,657 ", 7 , 2 , 1 ,,,,,50%,29%,0%," 365,328 ",0.00
2026-05-12,1899-3854,CNTV,한아이 세아ver2, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-05-12,1899-3569,채널액션,식사지원 지영이," 31,655 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-12,-,기타 TV채널,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
2026-05-12,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
