상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-11,1899-0218,EBS,식사지원 은영이ver2," 1,422,242 ", 3 , 7 , 7 , 4 ," 90,000 ",,,100%,233%,57%," 203,177 ",0.76
2026-05-11,1899-0219,SPOTV,식사지원 지영이," 248,387 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 248,387 ",0.00
2026-05-11,1899-0519,SPOTV2,식사지원 지영이," 204,787 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 204,787 ",1.17
2026-05-11,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-11,1899-0762,JTBC4,식사지원 은영이 ver2," 206,138 ", 6 , 4 , 2 , 3 ," 80,000 ",,,50%,67%,150%," 51,535 ",4.66
2026-05-11,1899-7318,JTBC4,가족돌봄 지수," 274,850 ", 8 , 2 , 1 ,,,,,50%,25%,0%," 137,425 ",0.00
2026-05-11,1899-7316,JTBC4,가족돌봄 지수ver2," 206,138 ", 6 , 3 , 2 , 2 ," 60,000 ",,,67%,50%,100%," 68,713 ",3.49
2026-05-11,1899-7325,JTBC4,식사지원 사랑이," 206,138 ", 6 , 3 , 3 , 1 ," 20,000 ",,,100%,50%,33%," 68,713 ",1.16
2026-05-11,1899-2887,JTBC4,한아이 세아ver2," 206,138 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 206,138 ",0.00
2026-05-11,1899-0739,JTBC4,뇌병변 무준이ver2," 137,425 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 137,425 ",1.75
2026-05-11,1899-7319,JTBC4,식사지원 준우_메인," 137,425 ", 4 , 1 ,,,,,,,,,,
2026-05-11,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-11,1899-0795,JTBC (SVC),가족돌봄 지수, - , 2 , 2 ,,,,,,,,,,
2026-05-11,1899-0776,라이프타임,가족돌봄 지수ver2," 145,341 ", 3 , 2 , 1 , 1 ," 30,000 ",,,50%,67%,100%," 72,670 ",2.48
2026-05-11,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 7 , 3 , 1 ,,,,,33%,43%,0%, - ,0.00
2026-05-11,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 1 , 1 ,,, 1 ," 20,000 ",100%,13%,0%," 177,419 ",0.00
2026-05-11,1899-0217,MBN PLUS,은영이 셀럽," 730,657 ", 7 , 6 , - , 3 ," 50,000 ",,,0%,86%,0%," 121,776 ",0.82
2026-05-11,1899-3854,CNTV,한아이 세아ver2," 165,000 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-11,1899-3569,채널액션,식사지원 지영이," 31,655 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-11,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-05-11,2102-4590,발신,-, - , - , 5 , 1 ,,,,,20%,0%,0%, - ,0.00
