상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-17,1899-0218,EBS,이유식 안부," 1,453,789 ", 3 , 5 , 4 , 3 ," 90,000 ",,,80%,167%,75%," 290,758 ",0.74
2026-06-17,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 , 1 , 1 ,,, 1 ," 10,000 ",100%,50%,0%," 81,915 ",0.00
2026-06-17,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 1 ,,,,,,0%,33%,0%," 122,872 ",0.00
2026-06-17,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 , 1 , 1 ,,,,,100%,33%,0%, - ,0.00
2026-06-17,1899-7325,JTBC4,식사지원 사랑이," 228,502 ", 7 , 1 , 1 , 1 ," 20,000 ", - , - ,100%,14%,100%," 228,502 ",1.05
2026-06-17,1899-2887,JTBC4,한아이 세아ver2," 228,502 ", 7 , 1 , 1 , 1 ," 20,000 ", - , - ,100%,14%,100%," 228,502 ",1.05
2026-06-17,1899-7315,JTBC4,뇌병변 지혜ver2," 163,216 ", 5 , 3 , 2 , 1 ," 30,000 ", 1 ," 20,000 ",67%,60%,50%," 54,405 ",2.21
2026-06-17,1899-0263,JTBC4,이유식 안부," 326,432 ", 10 , 2 , 2 , 2 ," 50,000 ", - , - ,100%,20%,100%," 163,216 ",1.84
2026-06-17,1899-7319,JTBC4,식사지원 준우_메인," 163,216 ", 5 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-06-17,1899-7316,JTBC4,식사지원 준우_셰프," 163,216 ", 5 , 4 , 2 , 2 ," 40,000 ", 1 ," 20,000 ",50%,80%,100%," 40,804 ",2.94
2026-06-17,1899-3569,JTBC4,식사지원 준우_아동," 163,216 ", 5 , 3 , 2 , 1 ," 20,000 ", - , - ,67%,60%,50%," 54,405 ",1.47
2026-06-17,1899-3854,JTBC4,식사지원 준우_할머니," 163,216 ", 5 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-06-17,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 , 1 ,,,,,,0%,50%,0%, - ,0.00
2026-06-17,1899-0776,라이프타임,이유식 안부," 100,907 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-17,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-17,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 1 , 1 , 1," 30,000 ",,,,100%,13%,3000000%," 183,333 ",0.00
2026-06-17,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-17,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-17,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
