상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-26,1899-0218,EBS,식사지원 지영이," 1,006,510 ", 3 , 11 , 10 , 3 ," 60,000 ", 4 ," 70,000 ",91%,367%,30%," 91,501 ",0.72
2026-05-26,1899-0219,SPOTV,식사지원 지영이," 82,796 ", 2 , 4 , 1 , 2 ," 40,000 ",,,25%,200%,200%," 20,699 ",5.80
2026-05-26,1899-0519,SPOTV2,식사지원 지영이," 81,915 ", 2 , 2 , 2 , 1 ," 20,000 ",,,100%,100%,50%," 40,957 ",2.93
2026-05-26,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 4 , 1 , 1 ,,,,,100%,25%,0%, - ,0.00
2026-05-26,1899-0762,JTBC4,식사지원 은영이 ver2," 378,930 ", 10 , 1 , 1 , 1 ," 30,000 ",,,100%,10%,100%," 378,930 ",0.95
2026-05-26,1899-7318,JTBC4,가족돌봄 지수," 189,465 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-7316,JTBC4,가족돌봄 지수ver2," 265,251 ", 7 , 5 , 4 , 4 ," 100,000 ",,,80%,71%,100%," 53,050 ",4.52
2026-05-26,1899-7325,JTBC4,식사지원 사랑이," 265,251 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-2887,JTBC4,한아이 세아ver2," 265,251 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-7315,JTBC4,뇌병변 지혜ver2," 265,251 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-7319,JTBC4,식사지원 준우_메인," 189,465 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-0776,라이프타임,가족돌봄 지수ver2," 107,093 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-05-26,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 6 , 2 , 1 , 2 ," 40,000 ",,,50%,33%,200%, - ,0.00
2026-05-26,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 1 ,,,,,,0%,13%,0%," 177,419 ",0.00
2026-05-26,1899-0217,MBN PLUS,은영이 셀럽," 510,145 ", 6 , 4 , 1 , 1 ," 20,000 ", 1 ," 20,000 ",25%,67%,100%," 127,536 ",0.47
2026-05-26,1899-3569,채널액션,식사지원 지영이," 31,655 ", 5 , 2 , 1 , 2 ," 50,000 ",,,50%,40%,200%," 15,827 ",18.95
2026-05-26,1899-7317,빌리어즈TV,식사지원 지영이," 314,286 ", 4 , 3 , 2 , 2 ," 40,000 ",,,67%,75%,100%," 104,762 ",1.53
2026-05-26,-,기타 TV채널,-, - , - , 1 ,,,,,,0%,0%,0%, - ,0.00
2026-05-26,2102-4590,발신,-, - , - , 4 , 2 ,,,,,50%,0%,0%, - ,0.00
