상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-19,1899-0218,EBS,이유식 안부," 1,453,789 ", 3 , 6 , 5 , 3 ," 70,000 ",,,83%,200%,60%," 242,298 ",0.58
2026-06-19,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 , 2 , 2 , 2 ," 40,000 ",,,100%,100%,100%," 40,957 ",5.86
2026-06-19,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 4 , 1 , 2 ," 50,000 ",,,25%,133%,200%," 30,718 ",4.88
2026-06-19,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 , 1 ,,,,,,0%,33%,0%, - ,0.00
2026-06-19,1899-0762,JTBC4,식사지원 은영이 ver2, - , - , - , - , 1 ," 30,000 ",,,,,,,
2026-06-19,1899-7325,JTBC4,식사지원 사랑이," 227,431 ", 7 , 1 , 1 , 1 ," 30,000 ",,,100%,14%,100%," 227,431 ",1.58
2026-06-19,1899-2887,JTBC4,한아이 세아ver2," 227,431 ", 7 , 5 , 5 , 1 ," 20,000 ", 1 ," 200,000 ",100%,71%,20%," 45,486 ",1.06
2026-06-19,1899-7315,JTBC4,뇌병변 지혜ver2," 162,451 ", 5 , 1 ,,,,,,0%,20%,0%," 162,451 ",0.00
2026-06-19,1899-0263,JTBC4,이유식 안부," 292,411 ", 9 , 5 , 4 , 3 ," 70,000 ", 1 ," 100,000 ",80%,56%,75%," 58,482 ",2.87
2026-06-19,1899-7319,JTBC4,식사지원 준우_메인," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-7316,JTBC4,식사지원 준우_셰프," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-3569,JTBC4,식사지원 준우_아동," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-3854,JTBC4,식사지원 준우_할머니," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-0776,라이프타임,이유식 안부," 108,669 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%," 183,333 ",1.31
2026-06-19,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-19,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-06-20,1899-0218,EBS,이유식 안부," 827,542 ", 2 , 8 , 5 , 1 ," 20,000 ", 1 ," 100,000 ",63%,400%,20%," 103,443 ",0.29
2026-06-20,1899-0219,SPOTV,식사지원 사랑이," 122,872 ", 3 , 1 , 1 , 1 ," 20,000 ",,,100%,33%,100%," 122,872 ",1.95
2026-06-20,1899-0519,SPOTV2,식사지원 사랑이," 40,957 ", 1 , 1 , 1 , 1 ," 20,000 ",,,100%,100%,100%," 40,957 ",5.86
2026-06-20,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-7325,JTBC4,식사지원 사랑이," 184,944 ", 6 , 2 , 1 , 1 ," 30,000 ",,,50%,33%,100%," 92,472 ",1.95
2026-06-20,1899-2887,JTBC4,한아이 세아ver2," 184,944 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 184,944 ",0.00
2026-06-20,1899-7315,JTBC4,뇌병변 지혜ver2," 123,296 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-0263,JTBC4,이유식 안부," 246,592 ", 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%," 246,592 ",0.97
2026-06-20,1899-7319,JTBC4,식사지원 준우_메인," 123,296 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-7316,JTBC4,식사지원 준우_셰프," 123,296 ", 4 , 2 , 1 , 1 ," 20,000 ",,,50%,50%,100%," 61,648 ",1.95
2026-06-20,1899-3569,JTBC4,식사지원 준우_아동," 123,296 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-3854,JTBC4,식사지원 준우_할머니," 123,296 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-0776,라이프타임,이유식 안부," 279,435 ", 6 , 3 , 2 , 3 ," 60,000 ",,,67%,50%,150%," 93,145 ",2.58
2026-06-20,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 10 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 1 ,,,,,,0%,13%,0%," 183,333 ",0.00
2026-06-20,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 256,667 ",0.94
2026-06-20,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-20,2102-4590,발신,-, - , - , 7 , 5 ,,,,,71%,0%,0%, - ,0.00
2026-06-21,1899-0218,EBS,이유식 안부," 827,542 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-0519,SPOTV2,식사지원 사랑이," 40,957 ", 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-7325,JTBC4,식사지원 사랑이," 231,358 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 231,358 ",0.00
2026-06-21,1899-2887,JTBC4,한아이 세아ver2," 231,358 ", 7 , 2 , 1 , 1 ," 50,000 ",,,50%,29%,100%," 115,679 ",2.59
2026-06-21,1899-7315,JTBC4,뇌병변 지혜ver2," 165,256 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-0263,JTBC4,이유식 안부," 330,512 ", 10 , 1 , 1 ,,,,,100%,10%,0%," 330,512 ",0.00
2026-06-21,1899-7319,JTBC4,식사지원 준우_메인," 165,256 ", 5 , 3 , 2 , 2 ," 55,000 ",,,67%,60%,100%," 55,085 ",3.99
2026-06-21,1899-7316,JTBC4,식사지원 준우_셰프," 165,256 ", 5 , 4 , 3 , 3 ," 75,000 ",,,75%,80%,100%," 41,314 ",5.45
2026-06-21,1899-3569,JTBC4,식사지원 준우_아동," 165,256 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 165,256 ",2.18
2026-06-21,1899-3854,JTBC4,식사지원 준우_할머니," 165,256 ", 5 , 2 , 1 , 1 ," 20,000 ",,,50%,40%,100%," 82,628 ",1.45
2026-06-21,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-21,1899-0776,라이프타임,이유식 안부," 240,625 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
