상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-05-01,1899-0218,EBS,식사지원 은영이ver2,"1,422,242",3,11,8,5,"100,000",2,"50,000",73%,367%,63%,"129,295",0.84
2026-05-01,1899-0219,SPOTV,식사지원 지영이,"82,796",2,2,1,,,,,50%,100%,0%,"41,398",0
2026-05-01,1899-0519,SPOTV2,식사지원 지영이,"81,915",2,1,1,,,1,"10,000",100%,50%,0%,"81,915",0
2026-05-01,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - ,2,,,,,,,0%,0%,0%, - ,0
2026-05-01,1899-0762,JTBC4,식사지원 은영이 ver2,"211,719",6,1,1, - , - , - , - ,100%,17%,0%,"211,719",0
2026-05-01,1899-7318,JTBC4,가족돌봄 지수,"282,293",8,2,2,1,"20,000", - , - ,100%,25%,50%,"141,147",0.85
2026-05-01,1899-7316,JTBC4,가족돌봄 지수ver2,"211,719",6,3,2,2,"40,000", - , - ,67%,50%,100%,"70,573",2.27
2026-05-01,1899-7325,JTBC4,식사지원 사랑이,"282,293",8,5,1,1,"20,000", - , - ,20%,63%,100%,"56,459",0.85
2026-05-01,1899-2887,JTBC4,한아이 세아ver2,"247,006",7,1,1, - , - , - , - ,100%,14%,0%,"247,006",0
2026-05-01,1899-0739,JTBC4,뇌병변 무준이ver2,"247,006",7,2,2,2,"80,000", - , - ,100%,29%,100%,"123,503",3.89
2026-05-01,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - ,1,,,,,,,0%,0%,0%, - ,0
2026-05-01,1899-0776,라이프타임,가족돌봄 지수ver2,"107,093",3,5,3,3,"50,000",,,60%,167%,100%,"21,419",5.6
2026-05-01,1899-7314,히스토리 (SVC),식사지원 지영이, - ,7,1,,1,"30,000",,,0%,14%,0%, - ,0
2026-05-01,1899-5186,시네마천국,식사지원 지영이,"177,419",8,,,,,,,0%,0%,0%, - ,0
2026-05-01,1899-0217,MBN PLUS,은영이 셀럽,"730,657",7,4,4,1,"20,000",2,"40,000",100%,57%,25%,"182,664",0.33
2026-05-01,1899-3854,CNTV,한아이 세아ver2,"330,000",6,1,1,1,"50,000",,,100%,17%,100%,"330,000",1.82
2026-05-01,1899-3569,채널액션,식사지원 지영이,"31,655",5,,,,,,,0%,0%,0%, - ,0
2026-05-01,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0
2026-05-01,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0
2026-05-02,1899-0218,EBS,식사지원 은영이ver2,"809,584",2,4,2,2,"50,000",,,50%,200%,100%,"202,396",0.74
2026-05-02,1899-0219,SPOTV,식사지원 지영이,"41,398",1,3,2,1,"20,000",,,67%,300%,50%,"13,799",5.8
2026-05-02,1899-0519,SPOTV2,식사지원 지영이,"81,915",2,,,,,,,0%,0%,0%, - ,0
2026-05-02,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - ,2,1,1,1,"30,000",,,100%,50%,100%, - ,0
2026-05-02,1899-0762,JTBC4,식사지원 은영이 ver2,"210,180",6, - , - , - , - , - , - ,0%,0%,0%, - ,0
2026-05-02,1899-7318,JTBC4,가족돌봄 지수,"280,240",8,9,8,3,"60,000",1,"20,000",89%,113%,38%,"31,138",2.57
