상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-14,1899-0218,EBS,식사지원 은영이ver2," 1,012,000 ", 3 , 12 , 8 , 7 ," 175,000 ",,,67%,400%,88%," 84,333 ",2.08
2026-04-14,1899-0219,SPOTV,식사지원 지영이," 177,419 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-0762,JTBC4,식사지원 은영이ver2," 265,307 ", 8 , 2 , 2 , 2 ," 50,000 ",,,100%,25%,100%," 132,654 ",2.26
2026-04-14,1899-7318,JTBC4,가족돌봄 지수," 265,307 ", 8 , 5 , 3 , 3 ," 70,000 ",,,60%,63%,100%," 53,061 ",3.17
2026-04-14,1899-7319,JTBC4,가족돌봄 선우," 132,654 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-7325,JTBC4,식사지원 사랑이," 198,980 ", 6 , 6 , 3 , 2 ," 40,000 ",,,50%,100%,67%," 33,163 ",2.41
2026-04-14,1899-7316,JTBC4,식사지원 준우_셰프," 132,654 ", 4 , 1 , 1 ,,, 1 ," 20,000 ",100%,25%,0%," 132,654 ",0.00
2026-04-14,1899-2887,JTBC4,한아이 세아ver2," 132,654 ", 4 , 2 , 2 , 2 ," 100,000 ",,,,,,,
2026-04-14,1899-0739,JTBC4,뇌병변 무준이ver2," 198,980 ", 6 , 1 ,,,,,,0%,17%,0%," 198,980 ",0.00
2026-04-14,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - ,,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-0776,라이프타임,가족돌봄 지수ver2," 183,588 ", 1 ,, 1 ," 30,000 ",,,,0%,0%,3000000%, - ,0.00
2026-04-14,1899-7314,히스토리 (SVC),식사지원 지영이, - ,,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,1899-5186,시네마천국,식사지원 지영이," 183,333 ",,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,-,기타 TV채널,-, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-14,2102-4590,발신,-, - , 4 , 3 ,,,,,,0%,75%,0%, - ,0.00
