상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-22,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 4 , 2 , 1 ," 20,000 ",,,50%,133%,50%," 357,500 ",0.17
2026-04-22,1899-0219,SPOTV,식사지원 지영이," 118,280 ", 2 , 1 , 1 , 1 ," 10,000 ",,,100%,50%,100%," 118,280 ",1.01
2026-04-22,1899-0519,SPOTV2,식사지원 지영이," 171,875 ", 4 , 2 , 2 ,,, 1 ," 20,000 ",100%,50%,0%," 85,938 ",0.00
2026-04-22,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 , 2 , 1 ,,,,,50%,67%,0%, - ,0.00
2026-04-22,1899-0762,JTBC4,식사지원 은영이ver2," 352,071 ", 10 , 4 , 3 , 2 ," 20,000 ", 1 ," 20,000 ",75%,40%,67%," 88,018 ",0.68
2026-04-22,1899-7318,JTBC4,가족돌봄 지수," 352,071 ", 10 , 5 , 5 , 5 ," 140,000 ", - , - ,100%,50%,100%," 70,414 ",4.77
2026-04-22,1899-7316,JTBC4, 가족돌봄 지수ver2," 176,036 ", 5 , 2 , 2 , 2 ," 30,000 ", - , - ,100%,40%,100%," 88,018 ",2.05
2026-04-22,1899-7325,JTBC4,식사지원 사랑이," 352,071 ", 10 , 1 , - , - , - , - , - ,0%,10%,0%," 352,071 ",0.00
2026-04-22,1899-2887,JTBC4,한아이 세아ver2," 246,450 ", 7 , 1 , 1 , - , - , - , - ,,,,,
2026-04-22,1899-0739,JTBC4,뇌병변 무준이ver2," 246,450 ", 7 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-04-22,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 , 1 , 1 ,,, 1 ," 20,000 ",100%,100%,0%, - ,0.00
2026-04-22,1899-0776,라이프타임,가족돌봄 지수ver2," 175,939 ", 4 , 2 , 1 ,,, 1 ," 30,000 ",50%,50%,0%," 87,969 ",0.00
2026-04-22,1899-7314,히스토리 (SVC),식사지원 지영이, - , 7 , 1 , 1 ,,,,,100%,14%,0%, - ,0.00
2026-04-22,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 2 , 2 , 1 ," 5,000 ", 1 ," 100,000 ",100%,25%,50%," 91,667 ",0.33
2026-04-22,1899-0217,MBN PLUS,은영이 셀럽," 687,500 ", 7 , 3 , 2 , 2 ," 30,000 ", 1 ," 100,000 ",,,,,
2026-04-22,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-04-22,2102-4590,발신,-, - , - , 1 ,,,,,,0%,0%,0%, - ,0.00
