상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-09,1899-0218,EBS,뇌병변 무준이ver2," 1,028,835 ", 3 , 5 , 4 , 1 ," 20,000 ",,,80%,167%,25%," 205,767 ",0.23
2026-06-09,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 , 2 ,, 2 ," 50,000 ",,,0%,100%,0%," 40,957 ",7.32
2026-06-09,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 1 ,,,,,,0%,33%,0%," 122,872 ",0.00
2026-06-09,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-09,1899-7325,JTBC4,식사지원 사랑이," 244,926 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-09,1899-2887,JTBC4,한아이 세아ver2," 244,926 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 244,926 ",0.00
2026-06-09,1899-7315,JTBC4,뇌병변 지혜ver2," 174,947 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 174,947 ",1.37
2026-06-09,1899-0263,JTBC4,이유식 안부," 314,905 ", 9 , 3 , 3 , 1 ," 20,000 ",,,100%,33%,33%," 104,968 ",0.76
2026-06-09,1899-7319,JTBC4,식사지원 준우_메인," 174,947 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-09,1899-7316,JTBC4,식사지원 준우_셰프," 174,947 ", 5 , 1 ,,,,,,0%,20%,0%," 174,947 ",0.00
2026-06-09,1899-3569,JTBC4,식사지원 준우_아동," 174,947 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 174,947 ",0.00
2026-06-09,1899-3854,JTBC4,식사지원 준우_할머니," 174,947 ", 5 , 1 ,, 1 ," 20,000 ",,,0%,20%,0%," 174,947 ",1.37
2026-06-09,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-09,1899-0776,라이프타임,뇌병변 무준이ver2," 341,532 ", 7 , 1 , 1 , 2 ," 40,000 ",,,100%,14%,200%," 341,532 ",1.41
2026-06-09,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 , 1 ,, 1 ," 20,000 ",,,0%,13%,0%, - ,0.00
2026-06-09,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 3 , 1 ,,,,,33%,38%,0%," 61,111 ",0.00
2026-06-09,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 2 , 2 , 2 ,,, 1 ," 20,000 ",100%,100%,0%," 128,333 ",0.00
2026-06-09,-,기타 TV채널,-, - , - , 1 ,,,,,,0%,0%,0%, - ,0.00
2026-06-09,2102-4590,발신,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
