상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-03-30,1899-0218,EBS,식사지원 은영이ver2," 1,326,307 ", 3 , 2 , 2 , 2 ," 50,000 ",,,100%,67%,100%," 663,153 ",0.45
2026-03-30,1899-0219,SPOTV,식사지원 지영이," 154,930 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-03-30,1899-0519,SPOTV2,식사지원 사랑이," 165,414 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-03-30,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-03-30,1899-0762,JTBC4,식사지원 은영이ver2," 281,060 ", 9 , 3 , 3 , 2 ," 40,000 ", 1 ," 50,000 ",100%,33%,67%," 93,687 ",1.71
2026-03-30,1899-7318,JTBC4,가족돌봄 지수," 281,060 ", 9 , 1 , - , 1 ," 20,000 ", - , - ,0%,11%,0%," 281,060 ",0.85
2026-03-30,1899-7319,JTBC4,가족돌봄 선우," 218,603 ", 7 , - , - , 2 ," 20,000 ", - , - ,0%,0%,0%, - ,1.10
2026-03-30,1899-7325,JTBC4,식사지원 사랑이," 218,603 ", 7 , 1 , 1 , 1 ," 25,000 ", - , - ,100%,14%,100%," 218,603 ",1.37
2026-03-30,1899-7316,JTBC4,식사지원 준우_셰프," 218,603 ", 7 , 3 , 3 , 2 ," 70,000 ", - , - ,100%,43%,67%," 72,868 ",3.84
2026-03-30,1899-0739,JTBC4,뇌병변 무준이ver2," 218,603 ", 7 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-03-30,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-03-30,1899-0776,라이프타임,가족돌봄 지수ver2," 173,764 ", 4 , 1 , 1 , 1 ," 25,000 ",,,100%,25%,100%," 173,764 ",1.73
2026-03-30,1899-7314,히스토리 (SVC),식사지원 지영이, - , 6 ,,,,, 1 ," 10,000 ",0%,0%,0%, - ,0.00
2026-03-30,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 3 , 3 , 2 ," 50,000 ",,,100%,38%,67%," 59,140 ",3.38
2026-03-30,1899-0217,MBN PLUS,은영이 셀럽," 700,000 ", 7 , 2 , 1 , 2 ," 50,000 ",,,50%,29%,200%," 350,000 ",0.86
2026-03-30,1899-3569,빌리어즈TV,식사지원 은영이_콜문구," 313,077 ", 5 , 3 , 3 , 1 ," 20,000 ", 1 ," 20,000 ",100%,60%,33%," 104,359 ",0.77
2026-03-30,-,기타 TV채널,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
2026-03-30,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
