상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-07-06,1899-0218,EBS,이유식 안부," 829,074 ", 2 , 5 , 4 , 3 ," 60,000 ", 2 ," 130,000 ",80%,250%,75%," 165,815 ",0.87
2026-07-06,1899-0219,SPOTV,이유식 안부," 416,216 ", 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%," 416,216 ",0.58
2026-07-06,1899-0519,SPOTV2,이유식 안부," 364,189 ", 7 , 2 , 2 , 2 ," 60,000 ",,,100%,29%,100%," 182,095 ",1.98
2026-07-06,1899-0325,SPOTV G&H (SVC),이유식 안부, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-06,1899-2887,JTBC4,한아이 세아ver2," 229,056 ", 9 , 1 ,,,,,,0%,11%,0%," 229,056 ",0.00
2026-07-06,1899-0263,JTBC4,이유식 안부," 229,056 ", 9 , 1 ,,,,,,0%,11%,0%," 229,056 ",0.00
2026-07-06,1899-7319,JTBC4,식사지원 준우_메인," 101,803 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-06,1899-7316,JTBC4,식사지원 준우_셰프," 101,803 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-06,1899-3569,JTBC4,식사지원 준우_아동," 101,803 ", 4 , 2 , 1 , 1 ," 10,000 ",,,50%,50%,100%," 50,902 ",1.18
2026-07-06,1899-7318,JTBC4,식사지원 예진," 178,155 ", 7 , 6 , 5 , 1 ," 20,000 ",,,83%,86%,20%," 29,693 ",1.35
2026-07-06,1899-0795,JTBC4,모잠비크 요나," 178,155 ", 7 , 2 , 1 ,,,,,,,,,
2026-07-06,1899-7326,JTBC2 (SVC),모잠비크 요나, - , 2 , 2 ,, 1 ," 30,000 ",,,0%,100%,0%, - ,0.00
2026-07-06,1899-0776,라이프타임,이유식 안부," 249,666 ", 5 , 3 , 1 , 1 ," 30,000 ",,,33%,60%,100%," 83,222 ",1.44
2026-07-06,1899-7314,히스토리 (SVC),한아이 세아ver2, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
