상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-08-14,1899-0218,EBS,식사지원 예진," 1,439,597 ", 3 , 4 , 4 , 3 ," 70,000 ",,,100%,133%,75%," 359,899 ",0.58
2026-08-14,1899-0219,SPOTV, 신장질환 세나," 106,944 ", 2 , 2 , 2 , 2 ," 40,000 ",,,100%,100%,100%," 53,472 ",4.49
2026-08-14,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 , 1 , 1 ,,, 1 ," 100,000 ",100%,50%,0%," 106,944 ",0.00
2026-08-14,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,1899-0263,JTBC4,이유식 안부," 258,569 ", 10 , 1 ,, 1 ," 20,000 ",,,0%,10%,0%," 258,569 ",0.93
2026-08-14,1899-7319,JTBC4,식사지원 준우_메인," 129,285 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 129,285 ",1.86
2026-08-14,1899-3569,JTBC4,식사지원 준우_아동," 180,998 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,1899-7318,JTBC4,식사지원 예진," 310,283 ", 12 , 3 , 2 , 2 ," 40,000 ", 1 ," 30,000 ",67%,25%,100%," 103,428 ",1.55
2026-08-14,1899-7325,JTBC4,신장질환 세나," 180,998 ", 7 , 2 ,,,,,,0%,29%,0%," 90,499 ",0.00
2026-08-14,1899-0795,JTBC4,엄마의 마음," 180,998 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,1899-0776,라이프타임,식사지원 예진," 251,007 ", 5 , 1 , 1 , 1 ," 25,000 ",,,100%,20%,100%," 251,007 ",1.20
2026-08-14,1899-7314,히스토리 (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 9 , 6 , 2 ," 50,000 ", 1 ," 20,000 ",67%,113%,33%," 19,713 ",3.38
2026-08-14,1899-7317,빌리어즈TV,식사지원 예진," 388,235 ", 4 , 4 , 3 , 2 ," 40,000 ",,,75%,100%,67%," 97,059 ",1.24
2026-08-14,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 354,839 ",1.01
2026-08-14,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 3 , 2 , 1 ," 30,000 ", 1 ," 20,000 ",67%,60%,50%," 94,624 ",1.27
2026-08-14,1899-7315,바둑TV,식사지원 예진," 149,375 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-14,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
2026-08-15,1899-0218,EBS,식사지원 예진," 819,463 ", 2 , 2 , 1 , 1 ," 20,000 ",,,50%,100%,100%," 409,732 ",0.29
2026-08-15,1899-0219,SPOTV, 신장질환 세나," 53,472 ", 1 , 2 , 2 ,,,,,100%,200%,0%," 26,736 ",0.00
2026-08-15,1899-0519,SPOTV2, 신장질환 세나, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 ,,,,,100%,33%,0%, - ,0.00
2026-08-15,1899-0263,JTBC4,이유식 안부," 231,127 ", 9 , 1 , 1 , 1 ," 30,000 ",,,100%,11%,100%," 231,127 ",1.56
2026-08-15,1899-7319,JTBC4,식사지원 준우_메인," 128,404 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 128,404 ",0.00
2026-08-15,1899-3569,JTBC4,식사지원 준우_아동," 179,766 ", 7 , 3 , 3 , 1 ," 20,000 ", 1 ," 30,000 ",100%,43%,33%," 59,922 ",1.34
2026-08-15,1899-7318,JTBC4,식사지원 예진," 282,489 ", 11 , 2 , 1 , 2 ," 70,000 ",,,50%,18%,200%," 141,245 ",2.97
2026-08-15,1899-7325,JTBC4,신장질환 세나," 179,766 ", 7 , 4 , 2 ,,,,,50%,57%,0%," 44,942 ",0.00
2026-08-15,1899-0795,JTBC4,엄마의 마음," 179,766 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,1899-7326,JTBC2 (SVC),신장질환 세나, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,1899-0776,라이프타임,식사지원 예진," 110,738 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 4 , 1 , 1 ," 20,000 ",,,25%,50%,100%," 44,355 ",1.35
2026-08-15,1899-7317,빌리어즈TV,식사지원 예진," 388,235 ", 4 , 6 , 3 ,,,,,50%,150%,0%," 64,706 ",0.00
2026-08-15,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 354,839 ",0.68
2026-08-15,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 3 , 3 , 2 ," 40,000 ",,,100%,60%,67%," 94,624 ",1.69
2026-08-15,1899-7315,바둑TV,식사지원 예진," 179,250 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 179,250 ",0.00
2026-08-15,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-15,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-08-16,1899-0218,EBS,식사지원 예진," 819,463 ", 2 , 1 , 1 , 1 ," 20,000 ",,,100%,50%,100%," 819,463 ",0.29
2026-08-16,1899-0219,SPOTV, 신장질환 세나," 53,472 ", 1 , 1 , 1 , 1 ," 20,000 ",,,100%,100%,100%," 53,472 ",4.49
2026-08-16,1899-0519,SPOTV2, 신장질환 세나," 106,944 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-0263,JTBC4,이유식 안부," 276,139 ", 10 , 1 , 1 , 1 ," 25,000 ",,,100%,10%,100%," 276,139 ",1.09
2026-08-16,1899-7319,JTBC4,식사지원 준우_메인," 138,070 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-3569,JTBC4,식사지원 준우_아동," 193,298 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-7318,JTBC4,식사지원 예진," 331,367 ", 12 , 6 , 6 , 2 ," 50,000 ",,,100%,50%,33%," 55,228 ",1.81
2026-08-16,1899-7325,JTBC4,신장질환 세나," 220,911 ", 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%," 220,911 ",1.09
2026-08-16,1899-0795,JTBC4,엄마의 마음," 220,911 ", 8 , 2 , 1 ,,,,,50%,25%,0%," 110,456 ",0.00
2026-08-16,1899-7326,JTBC2 (SVC),신장질환 세나, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-0776,라이프타임,식사지원 예진," 140,268 ", 3 , 1 , 1 ,,, 1 ," 20,000 ",100%,33%,0%," 140,268 ",0.00
2026-08-16,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,1899-5186,시네마천국,식사지원 예진," 177,419 ", 8 , 3 , 1 , 1 ," 20,000 ",,,33%,38%,100%," 59,140 ",1.35
2026-08-16,1899-7317,빌리어즈TV,식사지원 예진," 388,235 ", 4 , 6 , 5 , 3 ," 50,000 ",,,83%,150%,60%," 64,706 ",1.55
2026-08-16,1899-0739,채널S플러스,식사지원 예진," 354,839 ", 4 , 1 ,,,,,,0%,25%,0%," 354,839 ",0.00
2026-08-16,1899-0217,엠플렉스,식사지원 예진," 283,871 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 283,871 ",0.85
2026-08-16,1899-7315,바둑TV,식사지원 예진," 179,250 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-08-16,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-08-17,1899-0218,EBS,식사지원 예진," 2,679,866 ", 5 , 10 , 8 , 6 ," 140,000 ", 1 ," 20,000 ",80%,200%,75%," 267,987 ",0.63
